,Video Title,Video URL,Published Date,Channel Title,Comment,Comment Author,Comment Published,Like Count (Comment)
64,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,I immediately requested my wife to throw out all teflon coated utensils from my household.,@amitjain4791,2025-05-31T17:28:20Z,0
65,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,La vidéo la plus flippante que j'ai regardé...,@Louis-yw3sy,2025-05-31T17:21:03Z,0
66,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"People do not realize how far ahead the USA is in testing, regulating, and removing PFAS. Advanced nations in Europe and my home of Canada are catching up, but this is going to be a hell of a battle. Until very recently, hardly any laboratories could even accurately test for PFAS. They have had to build specific PFAS-free labs and equipment, with specific protocols to avoid contamination. Without affordable and accurate measurement, it was impossible to determine safe exposure levels and regulate polluters. Add to that the facts that we knew we would find it everywhere, and don't yet have suitable replacements for several use cases, and you quickly realize why this is such a drawn-out battle between the public interest and corporate profiteers (beyond the basic economic and political reasons that is always a challenge).",@jcayer5,2025-05-31T17:19:23Z,0
67,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"Imagine giving blood as a strategy to reduce your PFAS levels just to have someone else accept your PFAS-laden blood to save their life. Awkward all-round and who is thanking who? 😂😅 1/ Perhaps a machine can clean the PFAS from the donated blood? 2/ Perhaps this could also be done for people with dangerous levels of PFAS similar to using a dialysis machine?",@niravelniflheim1858,2025-05-31T16:46:45Z,0
68,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Any time I see a youtuber plug ground news thier credibility immediately skyrockets. Even if they don't align politically with me there is a sense that they still allign morally. Thanks @veritasium for keeping your standards high enough to be THE standard ;),@joncollier1934,2025-05-31T16:43:52Z,0
69,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,In a 100 years we’re going to look at microplastics being in food the same way we look at arsenic in paint right now,@AvidCanineEnjoyer,2025-05-31T16:41:06Z,0
70,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"I think it’s GOOD! That we’re learning about all these things. Because before we didn’t know it existed, and we could have been finding this out decades and generations after it’s happened and had irreparable consequences. Oh wait. 😂",@StihlRunnin,2025-05-31T16:30:18Z,0
71,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"53:59 não, eu agradeço",@romulosantos958,2025-05-31T16:27:27Z,0
72,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"Guess I need to invest in more water filters...😰  Compound        | Max Level (ppt)  | Year    | Location         | -------------------------|----------------------------|-----------|-----------------------| 6:2 FTS              | 1,370                     | 2019  | Groundwater | 8:2 FTS              | 2,200                     | 2019  | Groundwater | NEtFOSAA        | 2,200                     | 2019  | Groundwater | NMeFOSAA      | 2,200                     | 2019  | Groundwater | PFBS                 | 8,360                     | 2019  | Groundwater | PFHxA              | 6,550                     | 2019  | Groundwater | PFHxS              | 38,700                   | 2019  | Groundwater | PFNA                | 12                          | 2019  | Groundwater | PFOA                | 200,000                | 2019  | Groundwater | PFOS                | 1,100,000             | 2019  | Groundwater | PFOS+PFOA    | 968,000                | 2019  | Groundwater | PFTrDA            | 830                        | 2019  | Groundwater | PFUnA             | 830                        | 2019  | Groundwater |",@bloodshot0o,2025-05-31T16:23:49Z,0
73,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"It tells a lot about Teflon  ,because it's the only material that doesn't dissolve in the most potent acid know to man to this point in time.Don't know the english name for the acid,but in german: Hexaflourantimonsäure",@helgaschwegler9919,2025-05-31T16:18:16Z,0
74,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Devia existir uma lei que obrigasse as pessoas a assistir ao menos um conteúdo do Veritasium por mês...,@romulosantos958,2025-05-31T16:17:21Z,0
75,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"4:48 what i'm hearing is... fluorine has a massive crush on carbon  18:03 ""i -ain't- am reading allat""",@hiddendrifts,2025-05-31T16:17:12Z,0
76,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,What are the names of the people that knew and hid the information or worse knew and profited from it?,@slalomsk8er397,2025-05-31T16:12:03Z,1
77,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"I work at a glue factory.  We are all aware that the chemicals are nasty.  We're issued respirators and use proper PPE (gloves, glasses, gowns), but I know I'm getting exposed.  Did your employer not have MSDs to read?  I read ALL of them and know which chemicals to be ultra careful with.",@zwisslb,2025-05-31T16:00:00Z,0
78,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,yo wtf hamza wasnt tweaking,@cdragon615,2025-05-31T15:36:29Z,0
79,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Me watching this video while eating ice cream from a plastic container and drinking water in a plastic cup from a plastic gallon dispenser: I'm in danger,@blank4700,2025-05-31T15:26:09Z,0
80,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"This is fair enough but you are only dealing with one chemical. Eg PCBs so we now have a legacy buildup. One suggestion I would have is to vastly increase the number of whales in the world. They accumulate the toxic chemicals. Bad for the whales, but the more there are, the lower the individual poisoning. Recent research indicates porridge oats may help in the elimination  of forever chemicals. Me, I am moving to Portugal",@DavidPaulNewtonScott,2025-05-31T15:21:18Z,0
81,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,guys im 21 will i even make it passed 50 at this point,@dippstick,2025-05-31T15:10:26Z,0
82,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,What if PFAS is naturally found all over the planet anyway? Do we have samples from before the 1900s that don't have PFAS?   It's a similar outlook as the canibinoid receptors being present in our brains but not everybody introduces them to their body.,@MaNNeRz91,2025-05-31T15:01:54Z,0
83,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"awesome - this could be the start of a very long series!  (title could be called ""how _ secretly poisoned (or is poisoning) the planet"").  I know that would be too risky for the channel though.",@jimmyblackkeys,2025-05-31T14:53:03Z,0
84,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Something to think about while brushing your teeth with flouride.  😂,@rickjensen2833,2025-05-31T14:44:34Z,0
85,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,I thought this video was about the Covid 19 vaccine at first.,@poppabear9279,2025-05-31T14:40:23Z,0
86,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,50:03,@kekecaca391,2025-05-31T14:34:23Z,1
87,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,I firmly belive that everyone has drastically higher than normal pfas.,@malvodasnipa,2025-05-31T14:32:32Z,0
88,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Shocking truth revealed; can't believe this was hidden for so long!,@burlskell,2025-05-31T14:11:10Z,0
89,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Money is the root of all evil,@Crime-v3v,2025-05-31T14:10:48Z,0
90,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Huff,@FactualAurora,2025-05-31T14:07:52Z,0
91,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"it was actually 3M AND dupont that poisoned the planet, 3M went to Europe because they didn't want to poison the US, but didn't realize that it actually evaporates into the air and spreads around the whole world either way.",@sc0rps63,2025-05-31T13:57:14Z,0
92,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Disappointed to have them denigrate Gen X.😢,@1000sister,2025-05-31T13:48:25Z,0
93,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,The gods on mount olympus looking down on human actions from the clouds. They see in advance the endings of all great dreams which leads to disasters and tragedy. They laugh at our inability to see beyond the present moment and how we delude ourselves.,@Galgani333,2025-05-31T13:46:19Z,0
